month,interest
2015M01,1.25
2015M02,1.25
2015M03,1.25
2015M04,1.25
2015M05,1.25
2015M06,1.00
2015M07,1.00
2015M08,1.00
2015M09,0.75
2015M10,0.75
2015M11,0.75
2015M12,0.75
2016M01,0.75
2016M02,0.75
2016M03,0.50
2016M04,0.50
2016M05,0.50
2016M06,0.50
2016M07,0.50
2016M08,0.50
2016M09,0.50
2016M10,0.50
2016M11,0.50
2016M12,0.50
2017M01,0.50
2017M02,0.50
2017M03,0.50
2017M04,0.50
2017M05,0.50
2017M06,0.50
2017M07,0.50
2017M08,0.50
2017M09,0.50
2017M10,0.50
2017M11,0.50
2017M12,0.50
2018M01,0.50
2018M02,0.50
2018M03,0.50
2018M04,0.50
2018M05,0.50
2018M06,0.50
2018M07,0.50
2018M08,0.50
2018M09,0.75
2018M10,0.75
2018M11,0.75
2018M12,0.75
2019M01,0.75
2019M02,0.75
2019M03,1.00
2019M04,1.00
2019M05,1.00
2019M06,1.25
2019M07,1.25
2019M08,1.25
2019M09,1.50
2019M10,1.50
2019M11,1.50
2019M12,1.50
2020M01,1.50
2020M02,1.50
2020M03,0.25
2020M04,0.25
2020M05,0.00
2020M06,0.00
2020M07,0.00
2020M08,0.00
2020M09,0.00
2020M10,0.00
2020M11,0.00
2020M12,0.00
2021M01,0.00
2021M02,0.00
2021M03,0.00
2021M04,0.00
2021M05,0.00
2021M06,0.00
2021M07,0.00
2021M08,0.00
2021M09,0.25
2021M10,0.25
2021M11,0.25
2021M12,0.50
2022M01,0.50
2022M02,0.50
2022M03,0.75
2022M04,0.75
2022M05,0.75
2022M06,1.25
2022M07,1.25
2022M08,1.75
2022M09,2.25
2022M10,2.25
2022M11,2.50
2022M12,2.75
2023M01,2.75
2023M02,2.75
2023M03,3.00
2023M04,3.00
2023M05,3.25
2023M06,3.75
2023M07,3.75
2023M08,4.00
2023M09,4.25
2023M10,4.25
2023M11,4.25
2023M12,4.50
2024M01,4.50
2024M02,4.50
2024M03,4.50
2024M04,4.50
2024M05,4.50
2024M06,4.50
2024M07,4.50
2024M08,4.50
2024M09,4.50
2024M10,4.50
